,property_ID,Listing_ID,price,baths_half,baths_full,baths,beds,size_in_sqft,lot_size_in_sqft,prop_type,prop_sub_type,city,Line,postal_code,lat,lon,neighborhood_name,Listing_Url,thumbnail,LatLong,NearestBus,BusDistance,NearestMetro,MetroDistance,NearestCC,CCDistance,NearestLIB,LIBDistance,NearestSchools,SchoolsDistance,RATING,Num_bars,Mean_Rating_bars,Mean_PriceLevel_bars,Top_5_Rated_bars,Num_restaurants,Mean_Rating_restaurants,Mean_PriceLevel_restaurants,Top_5_Rated_restaurants
21,M5150602471,2922250804,719999,1.0,2.0,3,2.0,1400.0,,condo,townhomes,Arlington,1505 12th St N Unit A,22209,38.88831,-77.07444,Radnor - Fort Myer Heights,https://www.realtor.com/realestateandhomes-detail/1505-12th-St-N-A_Arlington_VA_22209_M51506-02471,https://ap.rdcpix.com/f5548c31a6371cdb40aa5821e3154f23l-m758618557x.jpg,"38.88831,-77.07444","Wilson Blvd, WB @ N Quinn Street, FS",0.454,Rosslyn Metro,0.59,Dawson Terrace Comm.,0.89,Plaza Library & Arlington Shop,0.624,Nottingham Elementary School,0.444,4.76,9.0,4.199999999999999,2.0,Quinn's; Ragtime; Barley Mac; Guajillo; Rhodeside Grill,8.0,4.3,1.875,Mele Bistro; Quarterdeck; Ragtime; Guajillo; Rhodeside Grill
22,M5993117349,2922250162,1675000,1.0,2.0,3,2.0,1814.0,,condo,condos,Arlington,1881 N Nash St Unit 1210,22209,38.89691,-77.07319,North Rosslyn,https://www.realtor.com/realestateandhomes-detail/1881-N-Nash-St-Unit-1210_Arlington_VA_22209_M59931-17349,https://ap.rdcpix.com/0359373ad3086704bae3de744114c840l-m525634156x.jpg,"38.89691,-77.07319",Bus Collection Point I/B,0.087,Rosslyn Metro,0.086,Dawson Terrace Comm.,0.547,Plaza Library & Arlington Shop,0.778,Nottingham Elementary School,0.263,4.76,10.0,4.066666666666666,1.8888888888888888,Quinn's; Barley Mac; Guajillo; Rhodeside Grill; Continental Beer Garden,11.0,4.0636363636363635,1.7272727272727273,Mele Bistro; Guajillo; Rhodeside Grill; Chipotle Mexican Grill; Chopt Creative Salad Co.
23,M5634833009,2922249244,174900,,1.0,1,1.0,514.0,,condo,condos,Arlington,1021 Arlington Blvd Apt 233,22209,38.89287228,-77.06885279,Radnor - Fort Myer Heights,https://www.realtor.com/realestateandhomes-detail/1021-Arlington-Blvd-Apt-233_Arlington_VA_22209_M56348-33009,https://ap.rdcpix.com/ed499c7dde21d5b4d202d54abeed19e2l-m1351705284x.jpg,"38.89287228,-77.06885279",N Moore St + Rosslyn Station Bus Bay C,0.242,Rosslyn Metro,0.296,Dawson Terrace Comm.,0.878,Plaza Library & Arlington Shop,0.905,Nottingham Elementary School,0.447,4.76,6.0,3.96,1.8333333333333333,Barley Mac; Continental Beer Garden; Continental Pool Lounge; Vantage Point Restaurant; City House,8.0,3.95,1.625,Chipotle Mexican Grill; Chopt Creative Salad Co.; Roti Modern Mediterranean; Starbucks; Così
24,M6491934462,2922248420,115000,,1.0,1,0.0,383.0,,condo,condos,Arlington,1021 Arlington Blvd Apt 711,22209,38.89308305,-77.06899895,Radnor - Fort Myer Heights,https://www.realtor.com/realestateandhomes-detail/1021-Arlington-Blvd-Apt-711_Arlington_VA_22209_M64919-34462,https://ap.rdcpix.com/771b9b5187d4f53c1b138e38da4583eel-m3469418687x.jpg,"38.89308305,-77.06899895",N Moore St + Rosslyn Station Bus Bay C,0.226,Rosslyn Metro,0.28,Dawson Terrace Comm.,0.863,Plaza Library & Arlington Shop,0.9,Nottingham Elementary School,0.436,4.76,6.0,3.96,1.8333333333333333,Barley Mac; Continental Beer Garden; Continental Pool Lounge; Vantage Point Restaurant; City House,8.0,3.95,1.625,Chipotle Mexican Grill; Chopt Creative Salad Co.; Roti Modern Mediterranean; Starbucks; Così
25,M5348689358,2922248387,1499500,1.0,5.0,6,6.0,5037.0,10741.0,single_family,,Arlington,2567 Military Rd,22207,38.905984000000004,-77.109369,Donaldson Run,https://www.realtor.com/realestateandhomes-detail/2567-Military-Rd_Arlington_VA_22207_M53486-89358,https://ap.rdcpix.com/0969bd2d02f0fd48581eb1f4d4765114l-m3884061776x.jpg,"38.905984000000004,-77.109369",N Glebe Rd + 20th St,1.028,Clarendon Metro,1.511,Lee Comm. Center,0.992,Cherrydale Library,0.502,Taylor Elementary School,0.202,4.768,0.0,,,,0.0,,,
26,M6594052927,2922247646,999000,1.0,2.0,3,2.0,1743.0,,condo,condos,Arlington,1205 N Garfield St Apt 804,22201,38.8869,-77.09359,North Arlington,https://www.realtor.com/realestateandhomes-detail/1205-N-Garfield-St-Apt-804_Arlington_VA_22201_M65940-52927,https://ap.rdcpix.com/03cbf4b9a6220fa02c35764707e5646cl-m1063869966x.jpg,"38.8869,-77.09359",Wilson Blvd + Veitch St,0.537,Clarendon Metro,0.09,Lee Comm. Center,0.639,Plaza Library & Arlington Shop,0.519,Arlington Science Focus School,0.519,4.832,40.0,4.385,1.9259259259259258,"Ms. Peacock's Champagne Lounge; Arlington Pub; East West Coffee Wine; O'Sullivans Sundays-Free Comedy Open Mic Arlington,VA; Screwtop Wine Bar",48.0,4.185416666666666,1.7916666666666667,Screwtop Wine Bar; Ambar Clarendon; Bakeshop; Earl's Sandwiches; Genji Express
27,M6502427926,2922241868,309900,,1.0,1,1.0,622.0,,condo,condos,Arlington,2616G S Arlington Mill Dr Unit 7,22206,38.843427,-77.09514,South Arlington,https://www.realtor.com/realestateandhomes-detail/2616G-S-Arlington-Mill-Dr-7_Arlington_VA_22206_M65024-27926,https://ap.rdcpix.com/694a0c58593849ebb2273c041009ef9cl-m2490668250x.jpg,"38.843427,-77.09514","Shirlington Station, Bay E",0.502,Pentagon City Metro,2.28,Barcroft Sport & Fitness Center,0.619,Shirlington Library,0.318,Abingdon Elementary School,0.268,3.1519999999999997,9.0,4.455555555555556,2.0,Ali's Bar; Carlyle; Busboys And Poets; Cheesetique Shirlington; Samuel Beckett's Irish Gastro Pub,20.0,4.365,1.7222222222222223,Best Buns Bread Company; Carlyle; Aroma Restaurant; Busboys And Poets; Cheesetique Shirlington
28,M6636979655,2922241854,769999,,2.0,2,3.0,1408.0,4600.0,single_family,,Arlington,3217 6th St S,22204,38.867398,-77.092016,South Arlington,https://www.realtor.com/realestateandhomes-detail/3217-6th-St-S_Arlington_VA_22204_M66369-79655,https://ap.rdcpix.com/38802cfa8d784d6d92ae291e5c2fa1d6l-m518584226x.jpg,"38.867398,-77.092016",N Pershing Dr + N Glebe Rd,0.852,Clarendon Metro,1.371,Thomas Jefferson Community Center,0.245,Columbia Pike Library,0.287,Patrick Henry Elementary School,0.176,,3.0,4.066666666666666,2.0,Caspi Restaurant and Lounge; Purple Lounge; THE SALSA ROOM,33.0,4.093939393939394,1.4827586206896552,Pho Harmony & Grill; Tortas Y Tacos La Chiquita; Burrito Bros; Atilla's Restaurant; Bangkok 54 Restaurant
29,M5855416420,2922241937,1048000,1.0,2.0,3,4.0,2320.0,10390.0,single_family,,Arlington,5128 10th Rd N,22205,38.882095,-77.12524,Bluemont,https://www.realtor.com/realestateandhomes-detail/5128-10th-Rd-N_Arlington_VA_22205_M58554-16420,https://ap.rdcpix.com/f47fa88f353cfa29df41759376ef3194l-m2638770387x.jpg,"38.882095,-77.12524","N George Mason Drive, SB @ 16th Street N, NS",0.43,Ballston Metro,0.693,Lubber Run Comm. Center,0.914,Westover Library,0.956,Arlington Traditional School,0.237,4.968,3.0,3.5666666666666664,2.5,The Melting Pot; Buffalo Wild Wings; Silver Leaf Restaurant and Bar,11.0,4.040000000000001,1.6666666666666667,La Union Restaurant; Pupatella; The Melting Pot; Starbucks; Layalina Restaurant
30,M5370606225,2922241800,1700000,1.0,5.0,6,5.0,3864.0,8705.0,single_family,,Arlington,2324 N Quebec St,22207,38.901677,-77.107897,Cherrydale,https://www.realtor.com/realestateandhomes-detail/2324-N-Quebec-St_Arlington_VA_22207_M53706-06225,https://ap.rdcpix.com/c45ead2a779c712000ced100fe7f0f9bl-m1595971240x.jpg,"38.901677,-77.107897",N Glebe Rd + 20th St,0.877,Clarendon Metro,1.217,Lee Comm. Center,0.744,Cherrydale Library,0.217,Dorothy Hamm Middle School,0.196,,0.0,,,,5.0,4.040000000000001,1.5,Philippine Oriental Market & Deli; Gaijin Ramen Shop; Carriage House; Dunkin'; Pizza Hut
