,RestaurantName,AddressVicinity,Type,PriceLevel,Rating,BusinessStatus,LatLong
139,Sicilian Pizza,"923 South Walter Reed Drive, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.4,OPERATIONAL,"38.8630417,-77.0868574"
140,William Jeffrey's Tavern,"2301 Columbia Pike, Arlington","['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.3,OPERATIONAL,"38.86376799999999,-77.08304"
143,THE SALSA ROOM,"2619 Columbia Pike, Arlington","['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,3.8,OPERATIONAL,"38.8630915,-77.0858982"
146,Subway,"3045 Columbia Pike, Arlington","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.7,OPERATIONAL,"38.86239519999999,-77.0890048"
149,Ledo Pizza,"1035 South Edgewood Street, Arlington","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.0,OPERATIONAL,"38.86205,-77.08604000000001"
151,Kohinoor Dhaba Inc.,"2800 South Eads Street, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.0,OPERATIONAL,"38.847734,-77.053865"
152,Ruth's Chris Steak House,"2231 Crystal Drive 11th Floor, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",4.0,4.5,OPERATIONAL,"38.8536822,-77.04838579999999"
153,Buffalo Wild Wings,"2450 Crystal Drive, Arlington","['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,3.3,OPERATIONAL,"38.8523745,-77.0505323"
154,The Birchmere,"3701 Mount Vernon Avenue, Alexandria","['restaurant', 'food', 'point_of_interest', 'establishment']",,4.6,OPERATIONAL,"38.83886800000001,-77.0620792"
155,McCormick & Schmick's Seafood & Steaks,"2010 Crystal Drive, Arlington","['restaurant', 'meal_takeaway', 'bar', 'food', 'point_of_interest', 'establishment']",3.0,3.9,OPERATIONAL,"38.8558384,-77.04960020000001"
156,Chipotle Mexican Grill,"1100 South Hayes Street, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.5,OPERATIONAL,"38.8632757,-77.0605838"
157,Jaleo,"2250 Crystal Drive, Arlington","['bar', 'liquor_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2.0,4.4,OPERATIONAL,"38.85365240000001,-77.0498771"
158,Crystal City Restaurant - Gentleman's Club,"422 23rd Street South, Arlington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",,4.1,OPERATIONAL,"38.8531461,-77.0531055"
162,Kabob Palace,"2315 South Eads Street, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.1,OPERATIONAL,"38.852955,-77.05324499999999"
163,Chick-fil-A,"2200 Crystal Drive Ste G, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.5,OPERATIONAL,"38.854406,-77.0500825"
164,Saigon Saigon,"1101 South Joyce Street Ste B16, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.4,OPERATIONAL,"38.8645546,-77.06285489999999"
165,The Portofino Restaurant,"526 23rd Street South, Arlington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.2,OPERATIONAL,"38.8531161,-77.0541527"
166,Freddie's Beach Bar & Restaurant,"555 23rd Street South, Arlington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.5,OPERATIONAL,"38.8534494,-77.0549126"
167,Chevys Fresh Mex,"1201 South Hayes Street, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.0,OPERATIONAL,"38.8623896,-77.0592377"
168,Morton's The Steakhouse,"1750 Crystal Drive, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",4.0,3.9,CLOSED_TEMPORARILY,"38.8584437,-77.0496525"
169,Lebanese Taverna,"1101 South Joyce Street, Arlington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.3,OPERATIONAL,"38.8637372,-77.0628576"
170,Auntie Anne's,"Metro Level, 1100 South Hayes Street Space C02, Arlington","['bakery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1.0,3.5,OPERATIONAL,"38.8629266,-77.0604967"
190,Zen Bistro & Wine Bar,"1301 South Joyce Street Ste D9, Arlington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.3,OPERATIONAL,"38.8625037,-77.0631691"
202,California Pizza Kitchen at Pentagon,"1201 South Hayes Street Suite F, Arlington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.0,OPERATIONAL,"38.86202579999999,-77.0592338"
203,Nando's Peri-Peri,"1301 South Joyce Street Ste D10, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.5,OPERATIONAL,"38.8630978,-77.0631254"
204,Epic Smokehouse,"1330 South Fern Street, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.2,OPERATIONAL,"38.8610324,-77.05619039999999"
205,Potomac Restaurant & Lounge,"900 South Orme Street, Arlington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,2.7,OPERATIONAL,"38.8669238,-77.0727009"
206,Skydome Restaurant,"300 Army Navy Drive, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",3.0,3.9,OPERATIONAL,"38.8640636,-77.0527263"
207,Dama Pastry & Cafe,"1505 Columbia Pike, Arlington","['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2.0,4.5,OPERATIONAL,"38.8670391,-77.07070039999999"
208,Panera Bread,"1100 South Hayes Street, Arlington","['cafe', 'bakery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2.0,4.1,OPERATIONAL,"38.8632005,-77.06102539999999"
209,Panda Express,"1100 S. Hayes St. #m126, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.7,OPERATIONAL,"38.8636026,-77.0605145"
210,FYVE Restaurant Lounge,"1250 South Hayes Street, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",3.0,4.5,OPERATIONAL,"38.86263699999999,-77.06034869999999"
