agent_name,agent_office,property_ID,Listing_ID,price,baths_half,baths_full,baths,beds,size_in_sqft,lot_size_in_sqft,prop_type,prop_sub_type,city,Line,postal_code,lat,lon,neighborhood_name,Listing_Url,thumbnail
Sharon Larowe,Long & Foster Bethesda All Points,M6431540370,2921873435,219900,NA,1,1,1.0,716,NA,condo,condos,Arlington,1021 Arlington Blvd Apt 543,22209,38.89283999,-77.06885013,Radnor - Fort Myer Heights,https://www.realtor.com/realestateandhomes-detail/1021-Arlington-Blvd-Apt-543_Arlington_VA_22209_M64315-40370,https://ap.rdcpix.com/beb0fd684bcd96a58145f98791c3ba4dl-m1523924132x.jpg
La Greta Dennis,Long & Foster Fort Washington,M6771486412,2921872078,1100000,1,4,5,3.0,4084,10000,single_family,NA,Arlington,2219 S Monroe St,22206,38.848061,-77.088508,Nauck,https://www.realtor.com/realestateandhomes-detail/2219-S-Monroe-St_Arlington_VA_22206_M67714-86412,https://ap.rdcpix.com/e4809fd02d99ad16ef74047fc1a4143dl-m206682413x.jpg
Pat Shannon,Long & Foster Arlington,M6055006664,2921866877,475000,NA,1,1,1.0,688,NA,condo,condos,Arlington,851 N Glebe Rd Apt 1615,22203,38.87890755,-77.11173283,Ashton Heights,https://www.realtor.com/realestateandhomes-detail/851-N-Glebe-Rd-Apt-1615_Arlington_VA_22203_M60550-06664,https://ap.rdcpix.com/f2aa051404f641a8ab3435bae36bbc5cl-m2407307560x.jpg
Roxanne Southern,SAMSON PROPERTIES,M6205322099,2921863062,215000,NA,2,2,2.0,1152,NA,condo,condos,Arlington,900 N Taylor St Apt 516,22203,38.88087714,-77.11260146,Ballston - Virginia Square,https://www.realtor.com/realestateandhomes-detail/900-N-Taylor-St-Apt-516_Arlington_VA_22203_M62053-22099,https://ap.rdcpix.com/00a762d907cbaabd919cbdd82a911d9bl-m2818335116x.jpg
James Mcmullin,"Mcmullin Real Estate, Llc",M6102160523,2918131596,1450000,1,4,5,5.0,4711,6802,single_family,NA,Arlington,733 N Emerson St,22203,38.876547,-77.121884,Bluemont,https://www.realtor.com/realestateandhomes-detail/733-N-Emerson-St_Arlington_VA_22203_M61021-60523,https://ap.rdcpix.com/28e099c68d93b83e428961f776a7b191l-m516488657x.jpg
Tom Francis,Keller Williams Realty,M5436740924,2912196791,2249000,1,6,7,7.0,6692,10000,single_family,NA,Arlington,5059 36th St N,22207,38.915807,-77.141,Rock Spring,https://www.realtor.com/realestateandhomes-detail/5059-36th-St-N_Arlington_VA_22207_M54367-40924,https://ap.rdcpix.com/aafad7bee7a746ba393f48648db0ba18l-m4086469804x.jpg
Tom Francis,Keller Williams Realty,M9407423732,2708116072,1799000,1,6,7,6.0,5745,10046,single_family,NA,Arlington,2301 N Powhatan St Unit 2,22205,38.891711,-77.149466,Leeway Overlee,https://www.realtor.com/realestateandhomes-detail/2301-N-Powhatan-St-2_Arlington_VA_22205_M94074-23732,https://ap.rdcpix.com/2489dce2645ff9b8b805eda49e6dabdbl-m3242058228x.jpg
Sarah And Debbie Reynolds,Keller Williams Chantilly Ventures Llc,M9719162578,2915885251,794270,1,3,4,4.0,1846,NA,condo,townhomes,Arlington,1018 S Taylor Ct,22204,38.88262,-77.112926,Ballston - Virginia Square,https://www.realtor.com/realestateandhomes-detail/1018-S-Taylor-Ct_Arlington_VA_22204_M97191-62578,https://ap.rdcpix.com/c70ac885decb4e1d0859c061a0b15393l-m2259675279x.jpg
Derek Huetinck,Beacon Crest Real Estate Llc,M9745121365,2918777304,1895000,1,4,5,5.0,5369,8660,single_family,NA,Arlington,2310 N Potomac,22205,38.89136619,-77.15138746,Leeway Overlee,https://www.realtor.com/realestateandhomes-detail/2310-N-Potomac_Arlington_VA_22205_M97451-21365,https://ap.rdcpix.com/5f403d15f726b5c5dd8a479557fc1b4el-m267567895x.jpg
Sarah And Debbie Reynolds,Keller Williams Chantilly Ventures Llc,M9429525117,2915885152,792301,2,2,4,3.0,1870,NA,condo,townhomes,Arlington,1020 S Taylor St,22204,38.88265,-77.112929,Ballston - Virginia Square,https://www.realtor.com/realestateandhomes-detail/1020-S-Taylor-St_Arlington_VA_22204_M94295-25117,https://ap.rdcpix.com/dfa5a19822269b5b249f4eddb3a574f9l-m2413595499x.jpg
Steven Watson,"Pearson Smith Realty, Llc",M5701451216,2912716836,1799000,1,6,7,6.0,6049,10260,single_family,NA,Arlington,6017 16th St N,22205,38.886087,-77.145308,North Arlington,https://www.realtor.com/realestateandhomes-detail/6017-16th-St-N_Arlington_VA_22205_M57014-51216,NA
Afrouz Homayouni,Compass,M6555079414,2912562507,1885000,1,5,6,5.0,5500,9079,single_family,NA,Arlington,5730 22nd St N,22205,38.891673,-77.141493,Tara - Leeway Heights,https://www.realtor.com/realestateandhomes-detail/5730-22nd-St-N_Arlington_VA_22205_M65550-79414,https://ap.rdcpix.com/407daed64e3adf1ddda052d0a872a261l-m192037319x.jpg
Kristin Francis,Keller Williams Capital Properties,M6588926338,2753414008,1310000,1,4,5,5.0,3240,10932,single_family,NA,Arlington,3603 9th St S,22204,38.862218,-77.094841,Alcova Heights,https://www.realtor.com/realestateandhomes-detail/3603-9th-St-S_Arlington_VA_22204_M65889-26338,https://ap.rdcpix.com/180236da91278e9ee67a4b690c20b952l-m1439712579x.jpg
Sarah And Debbie Reynolds,Keller Williams Chantilly Ventures Llc,M9816726460,2915885153,801113,1,3,4,4.0,1846,NA,condo,townhomes,Arlington,1012 S Taylor Ct,22204,38.882528,-77.112917,Ballston - Virginia Square,https://www.realtor.com/realestateandhomes-detail/1012-S-Taylor-Ct_Arlington_VA_22204_M98167-26460,https://ap.rdcpix.com/d6a267e1e330efbf0fb210ae4ba926f6l-m2259675279x.jpg
Heba Diab,Keller Williams Realty,M6082600122,2921231419,430000,NA,1,1,2.0,794,5000,single_family,NA,Arlington,2146 S Monroe St,22204,38.848877,-77.089384,Nauck,https://www.realtor.com/realestateandhomes-detail/2146-S-Monroe-St_Arlington_VA_22204_M60826-00122,https://ap.rdcpix.com/2d5bf970e8f1af38d6bb7ec22d5d13a7l-m1302546604x.jpg
